time,func1,func2
0.5,1.943491,-1.665991
0.75,1.555421,-1.560391
1,1.305081,-1.475352
1.1,1.23015,-1.447244
1.2,1.165934,-1.422148
1.3,1.110687,-1.399793
1.4,1.063041,-1.379934
1.5,1.021901,-1.362344
1.75,0.941908,-1.326896
2,0.886413,-1.301141
2.25,0.847981,-1.282508
2.5,0.821524,-1.269123
2.75,0.803502,-1.259635
3,0.791377,-1.253017
3.25,0.783314,-1.248471
3.5,0.778006,-1.245391
3.75,0.774542,-1.243327
4,0.772301,-1.24196
4.25,0.770865,-1.241066
4.5,0.769955,-1.24049
4.75,0.769386,-1.240125
5,0.769036,-1.239898
